symbol,name,q2_rev,rev_m7,rev_m8,rev_m9,year,q2_eps,q2_margin,ly_q3_eps,rev_yoy_m7,target_eps
2897,王道銀行,,836558.0,786414.0,733766.0,2021,0.14,0.0,0.18,0.0693638589023322,0.18
2884,玉山金,,5588087.0,5084919.0,4548690.0,2021,0.4,0.0,0.34,0.1008542519636488,0.38
2062,橋椿,2387621.0,1015858.0,900698.0,904141.0,2021,0.63,0.042529362909775,0.11,0.4760271882691742,0.86
6655,科定,556711.0,196217.0,197376.0,198687.0,2021,1.54,0.1937684004806802,1.54,-0.0033725956288316,2.31
6108,競國,2317142.0,836791.0,716871.0,772507.0,2021,0.68,0.0474196229665683,-0.39,0.1710036342365515,0.32
3305,昇貿,1823254.0,641614.0,710965.0,806854.0,2021,1.2,0.0798753218147334,0.59,0.4478156873364023,1.45
1414,東和,197354.0,66836.0,66782.0,64505.0,2021,0.14,0.1598092767311531,0.22,0.6695226438188495,0.28
8341,日友,828031.0,247931.0,289485.0,282980.0,2021,2.09,0.2806658204825665,2.22,-0.1100538064761603,1.97
1323,永裕,940270.0,313681.0,334429.0,344408.0,2021,0.91,0.102967232816106,0.65,0.1236964940122011,0.73
2613,中櫃,772802.0,247604.0,275229.0,273886.0,2021,0.37,0.0647669131291068,0.25,0.0003191596808402,0.45
1527,鑽全,1197599.0,433095.0,383380.0,364062.0,2021,0.77,0.0890139353823775,0.83,0.437430716433564,0.81
9917,中保科,3455009.0,1121679.0,1127112.0,1167045.0,2021,1.4,0.1814825952696505,1.35,0.0068371419184929,1.39
4976,佳凌,437187.0,118158.0,111096.0,140574.0,2021,0.12,0.0314442103722205,0.09,0.0064479859626409,-0.15
1453,大將,114.0,38.0,38.0,38.0,2021,-0.03,-21.035087719298247,0.29,-0.9997795516777278,-0.02
2433,互盛電,973898.0,324156.0,310923.0,320498.0,2021,0.67,0.1016266590546443,1.86,-0.04605849791205,1.82
2505,國揚,2275521.0,134158.0,298808.0,50369.0,2021,1.4,0.2337587743642005,0.31,0.2125851877293516,-0.07
3416,融程電,611139.0,189294.0,240233.0,253482.0,2021,1.33,0.1573406377272601,1.05,0.2381544177284738,1.54
4968,立積,1734916.0,403351.0,340232.0,282391.0,2021,3.98,0.1450565906360884,4.93,-0.2374813789765809,-1.97
2104,國際中橡,5882664.0,1867376.0,2190096.0,1610438.0,2021,0.31,0.057632222408079,0.51,0.2785491423395272,0.66
1736,喬山,6551785.0,2043439.0,2275977.0,2889358.0,2021,0.01,0.0012248570427753,1.49,-0.0594213945558504,-1.67
1733,五鼎,484485.0,172367.0,169558.0,167544.0,2021,0.23,0.0464988596138167,0.23,-0.1115881598004299,0.64
2702,華園,165900.0,93109.0,83711.0,75870.0,2021,-0.49,-0.3213381555153707,-0.4,0.5540960074776338,-0.33
2905,三商,,10997098.0,17187512.0,9270101.0,2021,0.79,0.0,-0.43,-0.3818873530794123,-0.25
2338,光罩,1492111.0,514829.0,538507.0,557073.0,2021,-0.1,-0.071694398070921,1.32,0.2936474632318759,2.87
3094,聯傑,73558.0,25652.0,26815.0,24555.0,2021,0.17,0.18800130509258,0.07,0.4329925702474722,0.25
2836,高雄銀,,331499.0,353014.0,298937.0,2021,0.21,0.0,0.17,0.0871065170838567,0.19
2832,台產,1886535.0,737931.0,647465.0,614490.0,2021,-0.67,-0.1291144876718428,0.61,0.3752846807289318,0.43
2377,微星,46322238.0,14524825.0,18478966.0,19203131.0,2021,5.2,0.0950092696298482,3.09,0.0494609499004066,5.29
4566,時碩工業,1035124.0,370411.0,394438.0,365227.0,2021,0.28,0.0199608935741032,0.37,0.4264572229581933,1.08
3024,憶聲,347163.0,148827.0,102619.0,160024.0,2021,0.62,0.4880704452951495,0.16,-0.105902496170136,0.08
3018,隆銘綠能,534104.0,101433.0,85174.0,143760.0,2021,-0.01,-0.0049316238036037,-0.42,0.2227177935556974,-0.74
1526,日馳,484406.0,159132.0,173495.0,148024.0,2021,1.25,0.1550496897230835,0.83,0.3153905287781975,1.07
2344,華邦電,25234159.0,9089871.0,8816083.0,9108776.0,2021,0.84,0.1497780449112649,0.08,1.2040523131602705,1.12
6139,亞翔,5924276.0,1793458.0,1671909.0,1714857.0,2021,0.33,0.0166219467155142,0.48,0.8493852596366727,0.17
6155,鈞寶,207675.0,71328.0,64930.0,67613.0,2021,0.07,0.0308125677139761,0.1,0.6863607348038867,0.32
2607,榮運,1729027.0,596925.0,571705.0,532300.0,2021,0.21,0.1298782494431839,0.17,0.0175355159399834,0.3
3040,遠見,43096.0,13595.0,13708.0,15778.0,2021,0.66,0.9696259513643958,2.5,0.0534676481983726,0.48
1456,怡華,845201.0,429328.0,226029.0,68833.0,2021,2.27,0.2518880124372782,-0.13,8.741955979124121,0.01
2455,全新,896062.0,290471.0,315199.0,341730.0,2021,1.22,0.2530829339934067,0.61,0.343460785991462,1.15
1109,信大,1885382.0,492134.0,591358.0,376885.0,2021,0.47,0.1251969096978755,0.79,-0.2500049528866185,0.31
1517,利奇,1219403.0,426869.0,443970.0,369236.0,2021,0.49,0.0876478079847269,0.32,0.2184525185749721,0.5
1720,生達,1149060.0,358516.0,379426.0,382901.0,2021,0.93,0.1703940612326597,0.64,0.0532630601728625,0.89
5608,四維航,1217494.0,489399.0,540308.0,625229.0,2021,1.78,0.3848749973305823,-0.33,1.0814771968475805,3.01
1339,昭輝,464729.0,159753.0,168902.0,132849.0,2021,-0.05,-0.0102425284413066,0.52,-0.1950327271627893,0.32
2606,裕民,3371534.0,1384918.0,1264382.0,1459377.0,2021,1.22,0.3061813999206296,0.88,0.6679469067688932,2.1
2364,倫飛,235862.0,74986.0,77875.0,90343.0,2021,0.05,0.0375388998651754,0.14,0.1347932020763025,0.8
1718,中纖,,2880141.0,2735907.0,2660048.0,2021,-0.09,0.0,1.94,0.076347414482218,0.06
2536,宏普,53262.0,14679.0,14277.0,22220.0,2021,-0.14,-0.8770793436220945,0.4,-0.9081132512472536,-0.08
3607,谷崧,954016.0,270560.0,284646.0,360255.0,2021,-0.91,-0.1223491010632945,-0.67,0.1275024587021387,0.12
2495,普安,311235.0,78501.0,100707.0,98023.0,2021,0.02,0.0103876492039777,0.03,-0.3153465087477541,0.09
3653,健策,2169327.0,783509.0,765410.0,773555.0,2021,2.13,0.1216852046740763,1.58,0.4476050587072397,3.21
2431,聯昌,385331.0,103085.0,113768.0,104581.0,2021,-0.22,-0.0649311890296913,0.33,-0.5994816981960456,-0.19
2496,卓越,152502.0,54171.0,62106.0,58082.0,2021,0.47,0.0568648280022557,1.65,-0.177719758952018,1.23
1603,華電,463147.0,143362.0,174638.0,359057.0,2021,0.31,0.107853446098107,1.55,-0.285241357304536,0.64
6177,達麗,2641863.0,526688.0,377233.0,2149093.0,2021,0.99,0.1447857061475178,0.0,4.976397966594045,0.93
3617,碩天,2113437.0,813590.0,822709.0,635588.0,2021,0.42,0.0181169346424804,2.9,-0.0628052601507639,0.62
2731,雄獅,380628.0,60534.0,101612.0,83375.0,2021,-0.88,-0.1877843984152505,-2.43,-0.6951779563719862,-2.19
6235,華孚,662700.0,224291.0,208783.0,225809.0,2021,0.18,0.0465489663497812,0.06,0.5373453511086741,0.1
3311,閎暉,406684.0,142058.0,152255.0,158786.0,2021,0.2,0.033569060990843,0.22,-0.0013778171439818,0.2
1402,遠東新,58493983.0,19058851.0,19327770.0,20059024.0,2021,0.71,0.0779057223714787,0.6,0.1913375288944896,0.45
1806,冠軍,824089.0,304242.0,304326.0,291124.0,2021,-0.04,-0.0195185228779901,0.05,0.0156940118381123,2.62
1702,南僑,4926650.0,1492597.0,1662626.0,1757618.0,2021,1.04,0.0558712309581561,1.35,0.0630268050517732,1.03
6446,藥華藥,86762.0,33618.0,30766.0,27678.0,2021,-2.08,-6.231737396556096,-2.53,-0.2791405780941761,-2.7
2373,震旦行,3395111.0,1167614.0,1078680.0,1129244.0,2021,1.49,0.1085905586002931,2.21,-0.0055496410107909,1.78
6226,光鼎,238000.0,79770.0,71152.0,116441.0,2021,0.15,0.0548025210084033,-0.06,0.1494567566788669,0.08
3437,榮創,992209.0,301957.0,300291.0,315526.0,2021,0.22,0.0325687430773153,0.39,-0.3948636245215334,-0.1
8422,可寧衛*,593990.0,222122.0,263766.0,276644.0,2021,2.43,0.4439990572231855,3.01,-0.1139115275833043,2.58
6142,友勁,624547.0,211041.0,171532.0,152567.0,2021,-0.51,-0.2698275710234778,-0.31,-0.4150796972308989,-0.65
1722,台肥,2610836.0,901496.0,996228.0,1171517.0,2021,0.78,0.2912178321426547,0.51,-0.0194234423556566,0.8
2014,中鴻,13397363.0,5201624.0,5341704.0,5091940.0,2021,1.59,0.1702443980953565,0.17,0.9922807901829608,1.02
8473,山林水,867754.0,268317.0,239911.0,305603.0,2021,-0.21,0.0009691686814465,0.19,-0.1729026411185914,0.35
3704,合勤控,6084387.0,1881295.0,2175800.0,2267408.0,2021,0.83,0.0603498758379439,0.88,0.0864069131074276,0.98
1708,東鹼,1147618.0,390366.0,403997.0,426915.0,2021,0.57,0.1136327593328093,0.24,0.1855282498572625,0.52
6589,台康生技,372415.0,403866.0,173837.0,78908.0,2021,-0.63,-0.3966005665722379,-0.19,4.729327148146572,1.54
2727,王品,3673251.0,1038113.0,1412361.0,1296139.0,2021,-2.78,-0.0640321067087438,3.64,-0.2543239832291439,-1.45
2497,怡利電,530331.0,191381.0,180444.0,201207.0,2021,-0.09,-0.018267836502109,-0.02,0.5781266749676344,0.07
2020,美亞,1669210.0,617158.0,595807.0,656789.0,2021,0.78,0.1040444282025628,0.75,0.4432697007326753,0.87
6625,必應,84822.0,5772.0,43987.0,38474.0,2021,-1.6,-0.8440381033222513,0.56,-0.9375223250527684,-0.92
2006,東和鋼鐵,14935680.0,4932499.0,4606354.0,4669117.0,2021,1.37,0.1007735168402108,0.79,0.4029812326156154,1.31
2450,神腦,6615724.0,2367247.0,2384301.0,2616877.0,2021,0.42,0.016342126727173,0.51,0.0912552874491539,0.61
2528,皇普,464108.0,136494.0,24601.0,14997.0,2021,0.18,0.1239345152421419,-0.31,6498.714285714285,0.05
2434,統懋,40624.0,13151.0,14297.0,10851.0,2021,-0.14,-0.1040025600630169,-2.26,0.290199156283724,-0.33
2013,中鋼構,3500605.0,1492706.0,1404325.0,1308938.0,2021,0.44,0.0251013753336923,0.55,0.5392736456003473,0.63
2402,毅嘉,1646829.0,558712.0,545468.0,505797.0,2021,0.17,0.0299381417257043,0.24,0.3104661472137653,0.27
2206,三陽工業,10164154.0,3757907.0,3215574.0,3385131.0,2021,0.54,0.0483026919899088,0.92,-0.0351449077215736,0.54
1560,中砂,1487769.0,517447.0,512863.0,508701.0,2021,0.98,0.0993050668484153,0.9,0.177552079303455,1.13
2421,建準,3326557.0,1101756.0,1265784.0,1113603.0,2021,0.3,0.0223426203128339,0.93,-0.0920226995149239,0.35
4164,承業醫,442987.0,131802.0,145042.0,202122.0,2021,0.47,0.1665421332905931,1.09,-0.5698887536426738,0.43
3605,宏致,2774620.0,930648.0,967608.0,906925.0,2021,1.47,0.0646892187038225,0.96,0.211714984336794,1.06
2313,華通,12356977.0,5358180.0,5812051.0,6382692.0,2021,0.52,0.0498048996935091,1.21,0.0554539905083244,1.31
6202,盛群,1670080.0,622585.0,715735.0,781287.0,2021,2.26,0.3102456169764322,1.27,0.2767517308134002,3.17
2520,冠德,9437595.0,2311124.0,996142.0,1238066.0,2021,2.76,0.1670532588016332,0.83,0.4129257119730318,0.68
1583,程泰,1757370.0,569259.0,561792.0,581312.0,2021,1.78,0.1337083255091415,0.09,0.1788829522862822,-0.31
8249,菱光,1174668.0,423434.0,384333.0,298759.0,2021,-0.09,-0.0106966393908746,0.72,0.4527632535990229,1.23
1504,東元,13486642.0,4251967.0,4386806.0,4413724.0,2021,0.68,0.117067020834393,0.42,0.0791725940825247,0.75
4562,穎漢,207874.0,78704.0,79112.0,79711.0,2021,-0.7,-0.2285134264025323,-0.42,0.5218206779202197,-0.36
3257,虹冠電,335327.0,127619.0,130984.0,120418.0,2021,1.38,0.2977929006611456,1.02,0.3319313259927987,1.49
3035,智原,1687852.0,646536.0,731378.0,839908.0,2021,0.73,0.1142849017567891,0.25,0.3177347230771112,1.31
9927,泰銘,2413898.0,791022.0,661035.0,639194.0,2021,0.86,0.074044553663825,0.94,0.0578795120783477,1.08
4967,十銓,1955111.0,518791.0,538421.0,721279.0,2021,1.7,0.0741804429518324,-1.09,-0.1465540782854454,-2.6
1529,樂事綠能,128198.0,14822.0,35320.0,56280.0,2021,0.54,0.408953337805582,0.41,-0.7125235167478035,0.39
2032,新鋼,876012.0,314654.0,260502.0,293255.0,2021,0.47,0.0711873809947808,0.24,0.0531752168077463,0.44
3058,立德,1188126.0,418502.0,431714.0,454928.0,2021,-0.87,-0.1149381462908816,-0.14,0.0857237734752593,-0.34
5283,禾聯碩,1829641.0,677277.0,611845.0,420727.0,2021,3.78,0.1509301551506552,4.88,-0.1823979622632399,3.18
3543,州巧,815522.0,301059.0,339867.0,318762.0,2021,0.33,0.0349395847077086,-4.98,0.0519696980285548,0.27
2201,裕隆,17911454.0,6404891.0,6219970.0,6762173.0,2021,0.96,0.0946808115075414,1.04,-0.2236843923363437,1.14
1726,永記,2174720.0,717208.0,727220.0,733270.0,2021,1.26,0.0937297675103001,1.39,0.07128315048134,1.36
1907,永豐餘,22550442.0,6959305.0,5862959.0,6964142.0,2021,1.02,0.1201859369319679,1.33,0.1575391852006475,0.78
3036,文曄,102096389.0,36346555.0,40457022.0,42301092.0,2021,2.53,0.0195705746262975,1.51,0.2957698320683555,2.85
2028,威致,3225944.0,1377514.0,1089613.0,1060973.0,2021,1.29,0.1304362381988032,0.61,0.8159400343805696,1.51
6277,宏正,1220718.0,393092.0,449460.0,427943.0,2021,1.09,0.1088842795797227,1.37,-0.0034200298650495,1.21
1538,正峰,71605.0,20779.0,16692.0,23229.0,2021,-0.5,-0.1858529432302213,0.54,-0.1931112146629388,-0.67
6117,迎廣,579592.0,200415.0,184004.0,245178.0,2021,-0.23,-0.0416275586964623,-0.15,-0.152980406741839,0.13
3712,永崴投控,1710322.0,680704.0,732745.0,939978.0,2021,0.12,0.0172774483401371,-0.04,0.9392834351353816,0.43
2901,欣欣,17767.0,4808.0,6422.0,7680.0,2021,-0.05,-0.1960938819159115,0.06,-0.4436473038648461,-0.02
2308,台達電,78769884.0,26377260.0,25923957.0,27344955.0,2021,2.93,0.1023675114209892,3.23,0.0230759790783665,2.45
9934,成霖,4866317.0,1659018.0,1554146.0,1672492.0,2021,0.22,0.0161906838374894,0.48,0.0384029673341623,0.01
2739,寒舍,414060.0,71974.0,103652.0,144543.0,2021,-2.33,-0.627843790754963,-0.27,-0.7015062789270251,-2.18
1522,堤維西,4177428.0,1371797.0,1324818.0,1436901.0,2021,-0.04,-0.0003722386118922,0.28,0.0390937337617578,0.02
1618,合機,753052.0,153537.0,143424.0,170373.0,2021,0.23,0.0722114807476774,0.63,-0.6963523599700974,0.2
2498,宏達電,1349180.0,373804.0,366303.0,600857.0,2021,-0.67,-0.4191130909144814,-1.7,0.3162622495941745,-0.94
5515,建國,1435637.0,390107.0,377283.0,528469.0,2021,0.39,0.0702412935860527,0.37,-0.3915378328466971,0.51
1305,華夏,4575908.0,1830303.0,1751859.0,1963157.0,2021,0.87,0.1296538304528849,0.65,0.7129809357130155,0.86
1233,天仁,376516.0,128786.0,137571.0,163902.0,2021,-0.17,-0.040619787738104,0.27,-0.2174774271166255,0.22
1308,亞聚,2335675.0,821270.0,788485.0,853180.0,2021,1.59,0.3951114774101705,0.33,0.9004764670626813,1.1
6533,晶心科,207370.0,56370.0,89247.0,46610.0,2021,1.41,0.2898731735545161,-0.69,0.8613174839029223,0.99
1455,集盛,2743880.0,1007763.0,987059.0,995373.0,2021,1.02,0.1976832077204542,0.05,0.925920617356855,-0.16
2368,金像電,6377010.0,2318359.0,2444041.0,2305843.0,2021,1.34,0.1137733828236117,1.06,0.0796613610940613,1.46
2380,虹光,901825.0,260198.0,205634.0,180988.0,2021,0.2,0.0392060543897097,-0.46,0.5785935727329536,-0.29
2405,輔信,438640.0,153578.0,141691.0,192446.0,2021,0.0,0.0076258435163231,0.02,0.2118232820181009,0.05
1709,和益,2464805.0,619917.0,785104.0,813711.0,2021,0.59,0.1136775525852958,0.38,-0.0851594470671744,0.59
1301,台塑,71652909.0,22344061.0,23158607.0,21433730.0,2021,3.18,0.2823430518361787,1.63,0.4217141815093417,3.03
2417,圓剛,1282959.0,405952.0,386044.0,345670.0,2021,0.22,0.1045013909251971,4.0,-0.5018138085069828,-0.29
1307,三芳,1994103.0,621285.0,513232.0,550855.0,2021,0.14,0.0274830337249379,0.25,0.1761949656958517,-0.41
2374,佳能,700088.0,297492.0,414252.0,343103.0,2021,2.8,1.1425349384648786,-0.33,0.0181352736034059,0.09
3014,聯陽,1830625.0,705951.0,704560.0,710051.0,2021,2.88,0.2539968589962444,2.06,0.5299399251014252,3.46
2460,建通,1267006.0,387464.0,350556.0,310820.0,2021,0.55,0.0709854570538734,0.07,0.2513572432057098,0.39
6024,群益期,652498.0,238238.0,191696.0,177120.0,2021,0.6,0.1942504038326554,0.82,-0.0242625797626165,0.51
8464,億豐,7424593.0,2396907.0,2479778.0,2632539.0,2021,4.18,0.1746214236928542,5.04,0.0388489090146284,4.7
2484,希華,824177.0,298938.0,309109.0,282653.0,2021,0.58,0.1114093210560353,0.37,0.2807255808373998,0.78
2404,漢唐,5990549.0,2113393.0,2140297.0,2019948.0,2021,2.92,0.0940035712920468,6.76,-0.4379693964360642,3.5
2390,云辰,163468.0,41789.0,47080.0,51994.0,2021,-0.45,-0.5889348373993687,-0.38,0.000934131736527,0.52
2330,台積電,372145122.0,124557799.0,137427162.0,152685418.0,2021,5.18,0.3613690145319169,5.3,0.1754786942231827,6.02
1808,潤隆,2139083.0,1129769.0,374877.0,395448.0,2021,0.81,0.1401726814714529,0.37,0.85958879870691,0.68
1436,華友聯,1421457.0,374053.0,119757.0,88834.0,2021,3.61,0.2425933390879921,1.8,-0.0530375718665427,0.91
2369,菱生,1994342.0,699171.0,713962.0,647968.0,2021,0.51,0.1014580247520234,-0.01,0.5680663674837008,0.79
2615,萬海,48016871.0,20300252.0,24663059.0,25764019.0,2021,8.57,0.3955774002849956,0.81,2.3407622405736954,13.18
1440,南紡,5310445.0,1721379.0,1414727.0,1233678.0,2021,0.61,0.19244187633993,0.19,0.2764798270124045,0.27
3596,智易,9548362.0,3020532.0,3101338.0,3359418.0,2021,1.85,0.0398611824729728,2.8,-0.0543538084984217,2.35
4536,拓凱,1822619.0,659131.0,809690.0,880195.0,2021,1.99,0.1039240784826669,2.39,-0.0630502952439707,1.81
6216,居易,214328.0,79014.0,66900.0,91085.0,2021,0.4,0.1628158710014557,0.35,0.4146524868406918,0.4
1735,日勝化,870429.0,303074.0,244920.0,229668.0,2021,0.11,0.012740843882729,0.34,0.5920929597293578,-0.03
4919,新唐,10614689.0,3491742.0,3252233.0,3636179.0,2021,2.37,0.0884805009360142,0.41,2.1821911715921973,1.56
1445,大宇,291422.0,107528.0,102038.0,114512.0,2021,0.01,0.0022544626006272,-0.1,0.6055185594409771,-0.08
2504,國產,5484857.0,1710816.0,1710963.0,1854854.0,2021,0.65,0.1447095156719673,0.56,0.1159899882779094,0.65
1515,力山,4985046.0,1249931.0,1641095.0,1365823.0,2021,1.29,0.0474009668115399,1.39,0.1532250103104007,1.37
5533,皇鼎,922412.0,42785.0,738145.0,229305.0,2021,0.69,0.2129189559546059,0.14,-0.8391952433212562,0.38
2415,錩新,743384.0,222864.0,80630.0,110357.0,2021,1.11,0.1487656446735469,0.13,0.5381175203942192,0.33
2009,第一銅,802297.0,276739.0,275002.0,292401.0,2021,0.22,0.1003892573448486,0.43,0.5307122589066933,0.56
2449,京元電子,7597326.0,2957152.0,3044565.0,2995305.0,2021,0.7,0.1138690112810744,0.79,0.1965754694000758,1.25
6005,群益證,3460917.0,1464586.0,1054617.0,820492.0,2021,0.58,0.3802159947782625,0.71,0.1539460352127879,0.59
1220,台榮,789944.0,258235.0,265446.0,267658.0,2021,0.32,0.0782625097475264,0.31,-0.0249653573572666,0.16
