symbol,name,industry,market_price,price_date,report_quarter,pe_ratio,value_score,eps_yoy,growth_score,avg_revenue_yoy_3m,momentum_score,op_margin,profit_score,cash_quality,quality_score,equity_to_assets_ratio,safety_score,total_score
1446,宏和,紡織纖維,39.45,2024-12-27,2024Q3,3.93,100.0,4863.16,100.0,3210.0266666666666,100.0,42.17824885914526,100.0,2.423116748329514,100.0,73.0102169758353,100.0,100.0
2603,長榮,航運業,226.0,2024-12-27,2024Q3,4.35,100.0,234.74,100.0,73.04333333333334,100.0,36.085400153972245,100.0,1.279913066803273,100.0,62.4884919126361,100.0,100.0
2609,陽明,航運業,75.7,2024-12-27,2024Q3,5.25,100.0,750.0,100.0,68.40333333333334,100.0,32.10422038860861,100.0,1.1920619044435445,98.8659863490778,74.9290788345156,100.0,99.77319726981557
2615,萬海,航運業,81.0,2024-12-27,2024Q3,7.39,97.21428571428572,1914.71,100.0,68.66,100.0,31.161816979448343,100.0,1.382862268485056,100.0,61.9514612368002,100.0,99.72142857142858
3025,星通,通信網路業,73.7,2024-12-27,2024Q3,16.79,88.15837937384899,78.85,100.0,52.28666666666666,100.0,29.483302764421094,100.0,1.491633028218394,100.0,73.0281076709591,100.0,98.8158379373849
1442,名軒,建材營造業,73.3,2024-12-27,2024Q3,7.43,100.0,726.76,100.0,103.85666666666667,100.0,33.46207351815519,100.0,2.206587752001343,100.0,54.1846228634053,85.46155715851326,98.54615571585133
6581,鋼聯,綠能環保,115.5,2024-12-27,2024Q3,16.89,66.61318193038755,81.91,100.0,95.01666666666667,100.0,40.60705205108243,100.0,1.2639819029896513,100.0,81.795547123443,100.0,96.66131819303875
6216,居易,通信網路業,40.9,2024-12-27,2024Q3,16.97,87.49539594843463,78.17,100.0,21.94333333333333,100.0,21.51844333037762,82.59221665188811,1.2490282173770684,100.0,88.3922367031318,100.0,96.13837209262668
2520,冠德,建材營造業,50.9,2024-12-27,2024Q3,5.06,100.0,209.7,100.0,27.936666666666667,100.0,26.869930444563384,100.0,1.7871709828050175,100.0,41.1168893519326,52.79222337983149,95.27922233798316
2606,裕民,航運業,57.1,2024-12-27,2024Q3,10.4,75.71428571428571,102.27,100.0,20.386666666666667,100.0,28.013423349135707,100.0,1.5273461105243789,100.0,45.1149563371186,62.7873908427965,93.85016765570822
1708,東鹼,化學工業,37.65,2024-12-27,2024Q3,10.7,92.1152285637003,728.0,100.0,24.226666666666663,100.0,20.327545925047552,76.63772962523777,1.827323401547273,100.0,49.6858984305075,74.21474607626874,93.12865690778257
6782,視陽,生技醫療業,182.0,2024-12-27,2024Q3,18.53,63.69352585002328,161.74,100.0,49.03333333333334,100.0,22.323231334433338,86.61615667216668,1.1481288616363976,92.58983737662824,67.0895071020862,100.0,92.87974356115298
2545,皇翔,建材營造業,63.1,2024-12-27,2024Q3,6.28,100.0,5514.29,100.0,183.16333333333333,100.0,31.890740724163198,100.0,2.280975738636661,100.0,24.6206431102525,11.551607775631254,91.15516077756313
2454,聯發科,半導體業,1430.0,2024-12-27,2024Q3,21.05,74.06204906204906,60.68,100.0,16.09,80.45,20.63470628965514,78.1735314482757,1.348340587491467,100.0,61.3650448916919,100.0,90.22223462344627
8932,智通*,其他業,92.0,2024-12-27,2024Q3,0.0,0.0,120.0,100.0,66.40333333333334,100.0,30.081794057469462,100.0,2.007057484348321,100.0,61.0,100.0,90.0
4772,台特化,化學工業,175.0,2024-12-27,2024Q3,0.0,0.0,234.55,100.0,47.300000000000004,100.0,39.67939143535132,100.0,1.3758900765270192,100.0,96.0,100.0,90.0
6788,華景電,半導體業,230.0,2024-12-27,2024Q3,0.0,0.0,57.23,100.0,77.74333333333334,100.0,29.967287616355936,100.0,1.899015287743952,100.0,67.0,100.0,90.0
5314,世紀,其他業,660.0,2024-12-27,2024Q3,0.0,0.0,597.81,100.0,1012.75,100.0,39.3152095761839,100.0,1.4235272346816037,100.0,78.0,100.0,90.0
3533,嘉澤,電子零組件業,1930.0,2024-12-27,2024Q3,28.47,15.326395458845798,44.56,89.12,27.263333333333335,100.0,33.897259222788016,100.0,1.2049119195130538,100.0,69.6122757611877,100.0,88.81263954588458
6670,復盛應用,運動休閒,320.0,2024-12-27,2024Q3,13.47,93.23640960809102,44.65,89.3,24.963333333333335,100.0,15.989643921639123,54.948219608195615,1.3000204239631041,100.0,55.6006340391749,89.00158509793725,88.79103241183218
3491,昇達科,通信網路業,325.5,2024-12-27,2024Q3,0.0,0.0,140.16,100.0,58.74,100.0,26.733731757454766,100.0,1.2166999907242313,100.0,55.0,87.5,88.75
6739,竹陞科技,其他電子業,198.5,2024-12-27,2024Q3,0.0,0.0,125.93,100.0,605.12,100.0,31.125418290653258,100.0,1.1504692149233233,92.92417356047477,84.0,100.0,88.58483471209496
5274,信驊,半導體業,3550.0,2024-12-27,2024Q3,0.0,0.0,133.42,100.0,110.40666666666668,100.0,44.032499891527756,100.0,1.117837891610878,88.26255594441115,68.0,100.0,87.65251118888223
3592,瑞鼎,半導體業,393.5,2024-12-27,2024Q3,14.26,98.55699855699855,63.18,100.0,19.573333333333334,97.86666666666667,9.37365689902278,21.8682844951139,1.4026389898526015,100.0,58.8180778261877,97.04519456546925,87.41379531984721
2330,台積電,半導體業,1090.0,2024-12-27,2024Q3,27.25,51.695526695526695,33.16,66.32,34.26,100.0,44.2452144181953,100.0,1.5101301562797385,100.0,64.7135964904974,100.0,86.74955266955267
3227,原相,半導體業,252.5,2024-12-27,2024Q3,0.0,0.0,138.46,100.0,30.146666666666665,100.0,20.517483016055447,77.58741508027724,1.276900536419922,100.0,81.0,100.0,86.63811226204159
2882,國泰金,金融保險業,69.3,2024-12-27,2024Q3,11.89,58.11437403400308,77.95,100.0,62.55666666666667,100.0,42.642610808781846,100.0,1.3560157410327551,100.0,6.93612653992043,0.0,85.8114374034003
6197,佳必琪,電子零組件業,148.5,2024-12-27,2024Q3,18.36,63.15042573320719,74.48,100.0,14.276666666666666,71.38333333333333,18.888545402610188,69.44272701305094,1.2652850806866383,100.0,58.699731012198,96.749327530495,85.68305104499453
6789,采鈺,半導體業,290.0,2024-12-27,2024Q3,75.72,0.0,262.14,100.0,56.193333333333335,100.0,18.831860309240714,69.15930154620357,2.8309275262243974,100.0,71.212114554758,100.0,85.37389523193053
2718,全心投控,建材營造業,77.5,2024-12-27,2024Q3,0.0,0.0,364.82,100.0,15.073333333333336,75.36666666666669,77.242972381055,100.0,1.2175663447093925,100.0,75.0,100.0,85.07333333333334
6187,萬潤,半導體業,399.5,2024-12-27,2024Q3,0.0,0.0,1044.44,100.0,390.43333333333334,100.0,23.346031420272304,91.73015710136153,1.05478821259883,79.25545894269,73.0,100.0,84.61061535374223
6442,光聖,通信網路業,649.0,2024-12-27,2024Q3,75.29,0.0,298.13,100.0,196.16,100.0,21.547884158597682,82.73942079298841,1.1087069814433517,86.95814020619311,56.844557903478,92.111394758695,84.01368063605638
9938,百和,其他業,68.0,2024-12-27,2024Q3,16.11,50.0,146.45,100.0,18.89,94.45,18.989952123402965,69.94976061701482,1.4792711983427858,100.0,37.9920457508867,44.98011437721676,83.8804755302739
6873,泓德能源,綠能環保,201.0,2024-12-27,2024Q3,21.38,44.44581584793879,81.01,100.0,136.03333333333333,100.0,13.477453895617824,42.38726947808912,2.346813135366506,100.0,50.3708904888968,75.927226222242,83.39539462873145
6526,達發,半導體業,711.0,2024-12-27,2024Q3,53.78,0.0,119.57,100.0,37.32666666666666,100.0,16.07066379358124,55.3533189679062,1.403077980748439,100.0,67.0800081461159,100.0,83.30299784518593
2883,凱基金,金融保險業,17.55,2024-12-27,2024Q3,10.57,68.31530139103555,62.86,100.0,530.7466666666668,100.0,68.19281451006036,100.0,1.060753318333336,80.1076169047623,7.76246512467485,0.0,82.85305352005601
6951,青新-創,,72.0,2024-12-27,2024Q3,18.0,30.000000000000004,107.93,100.0,61.089999999999996,100.0,34.61812401915416,100.0,0.8370207455720028,48.1458207960004,68.784230884437,100.0,82.62916415920009
9931,欣高,油電燃氣業,33.95,2024-12-27,2024Q3,14.7,84.25760286225402,78.38,100.0,13.19,65.95,16.79778800063384,58.9889400031692,3.4117927826461956,100.0,47.702071495793,69.2551787394825,82.38961916064903
6757,台灣虎航,航運業,77.2,2024-12-27,2024Q3,11.71,66.35714285714285,73.04,100.0,12.116666666666667,60.583333333333336,25.803365652604814,100.0,2.0723157549580518,100.0,32.8605291902347,32.15132297558675,81.96751324993964
6257,矽格,半導體業,68.9,2024-12-27,2024Q3,14.82,96.53679653679653,31.89,63.78,20.820000000000004,100.0,16.895307510712428,59.47653755356214,2.2784227143956706,100.0,49.5771326710125,73.94283167753125,81.91444345446709
1777,生泰,生技醫療業,93.6,2024-12-27,2024Q3,0.0,0.0,33.79,67.58,25.633333333333336,100.0,27.281631303179054,100.0,1.5611010304362798,100.0,91.0,100.0,81.895
6231,系微,資訊服務業,391.5,2024-12-27,2024Q3,0.0,0.0,92.11,100.0,18.41,92.05,23.455216505996994,92.27608252998498,0.9951565437750347,70.73664911071926,70.0,100.0,81.3987422016416
4951,精拓科,半導體業,66.4,2024-12-27,2024Q3,0.0,0.0,32.51,65.02,27.583333333333332,100.0,30.05009900887719,100.0,1.5193297796859935,100.0,86.0,100.0,81.255
6805,富世達,電子零組件業,806.0,2024-12-27,2024Q3,55.82,0.0,58.82,100.0,53.4,100.0,15.7638374776413,53.8191873882065,1.1974789606422191,99.63985152031702,52.2504082067895,80.62602051697375,81.06345046399176
4113,聯上,建材營造業,28.85,2024-12-27,2024Q3,0.0,0.0,680.7,100.0,1217349.43,100.0,21.860322028026523,84.30161014013262,2.512295985022198,100.0,32.0,30.0,80.6452415210199
2059,川湖,電子零組件業,1470.0,2024-12-27,2024Q3,30.8,4.304635761589415,85.58,100.0,61.52333333333333,100.0,59.1438390989816,100.0,0.8523048942080145,50.32927060114493,81.7374496680124,100.0,80.49631769638792
