symbol,name,industry,price_date,market_price,fair_value,upside,pe_ratio,eps,nav_per_share,roe_annual
1470,大統新創,紡織纖維,2026-02-06,0.0,18.08445608881027,inf,33.04,0.32,11.37,11.25769569041337
4523,永彰,電機機械,2026-02-06,28.55,1219.157297852474,4170.253232407965,0.0,23.29,34.23,272.1589249196611
8422,可寧衛*,綠能環保,2026-02-06,34.7,414.6669354237993,1095.0055775901997,25.14,10.47,64.55,64.87993803253292
4303,信立,塑膠工業,2026-02-06,56.6,599.1951642791581,958.6487001398552,0.0,10.18,35.92,113.36302895322939
2915,潤泰全,貿易百貨業,2026-02-06,51.3,471.89197679124703,819.8674011525284,6.11,6.71,92.62,28.97862232779097
1817,凱撒衛,玻璃陶瓷,2026-02-06,38.55,345.26625349841197,795.6323047948431,9.5,2.75,29.66,37.0869858395145
3609,三一東林,電子零組件業,2026-02-06,35.95,279.3862180873185,677.1522060843353,0.0,7.31,14.67,199.3183367416496
2718,全心投控,建材營造業,2026-02-06,47.75,363.4441858353437,661.1396561996728,0.0,15.47,70.46,87.8228782287823
2498,宏達電,通信網路業,2026-02-06,44.9,315.5687623270017,602.8257512850818,6.51,7.88,31.98,98.56160100062539
6573,虹揚-KY,半導體業,2026-02-06,14.85,95.16696335293784,540.8549720736555,16.14,1.61,8.15,79.01840490797547
7780,大研生醫*,食品工業,2026-02-06,27.1,171.95340546907798,534.514411325011,82.12,3.44,66.03,20.83901257004392
2547,日勝生,建材營造業,2026-02-06,10.65,66.48370152088323,524.2601081773073,3.69,2.78,13.71,81.1086797957695
4552,力達-KY,電機機械,2026-02-06,23.45,141.80935655776474,504.7307315896151,11.84,1.72,51.45,13.37220602526725
6790,永豐實,造紙工業,2026-02-06,37.65,217.23707090988913,476.9908921909406,13.26,2.23,20.34,43.85447394296952
9949,琉園,文化創意業,2026-02-06,26.55,146.48016395328747,451.7143651724576,0.0,5.5,13.11,167.81083142639207
6962,奕力-KY,半導體業,2026-02-06,37.7,191.90507471541193,409.0320284228432,10.8,2.6,40.19,25.87708385170441
2603,長榮,航運業,2026-02-06,187.5,940.2426916683074,401.46276888976394,4.47,27.74,249.78,44.42309232124269
2316,楠梓電,電子零組件業,2026-02-06,95.5,476.30170519052814,398.7452410372022,7.9,10.81,64.22,67.33104951728434
1446,宏和,紡織纖維,2026-02-06,16.6,81.79572979683266,392.7453602218835,5.91,2.05,20.56,39.88326848249027
5227,立凱-KY,電子零組件業,2026-02-06,25.35,121.81622752056658,380.53738666890166,0.0,2.99,10.65,112.3004694835681
6684,安格,半導體業,2026-02-06,47.3,223.57622555134898,372.67700962230236,0.0,3.24,38.39,33.75879135191456
2514,龍邦,其他業,2026-02-06,14.65,69.21157105011896,372.4339320827233,8.83,1.43,35.08,16.305587229190422
4526,東台,電機機械,2026-02-06,33.85,158.29585516461117,367.63915853651747,59.39,2.61,19.46,53.64850976361767
3673,TPK-KY,光電業,2026-02-06,37.9,169.34818318712482,346.82897938555357,18.22,2.56,93.82,10.914517160520147
4560,強信-KY,電機機械,2026-02-06,32.0,142.92703592905903,346.6469872783095,11.23,2.16,27.05,31.940850277264328
9951,皇田,電機機械,2026-02-06,54.8,241.87393655558003,341.37579663427016,0.0,3.59,49.19,29.192925391339703
4961,天鈺,半導體業,2026-02-06,142.5,617.5896234800211,333.3962270035236,12.01,8.08,141.31,22.87170051659472
1580,新麥,電機機械,2026-02-06,129.5,555.888491428779,329.25752233882554,0.0,9.37,59.42,63.07640525075732
3592,瑞鼎,半導體業,2026-02-06,221.0,947.6862697307065,328.8173166202292,11.28,14.09,149.06,37.810277740507175
1307,三芳,塑膠工業,2026-02-06,31.1,132.7979533317879,327.0030653755238,10.51,2.01,23.73,33.881163084702905
1423,利華,紡織纖維,2026-02-06,37.85,161.0348925538907,325.45546249376673,8.86,4.06,39.53,41.08272198330381
1451,年興,紡織纖維,2026-02-06,17.35,73.08670559750043,321.2490236167171,9.86,1.45,36.58,15.855658829961728
6147,頎邦,半導體業,2026-02-06,52.9,219.79007752782465,315.48218814333586,0.0,2.62,61.41,17.065624491125224
6122,擎邦,電機機械,2026-02-06,50.8,206.7832791425274,307.0536990994634,0.0,3.44,24.07,57.16659742417948
5288,豐祥-KY,電機機械,2026-02-06,137.5,549.457400995288,299.60538254202766,9.39,8.74,82.31,42.473575507228766
1608,華榮,電器電纜,2026-02-06,32.6,129.92848156491007,298.5536244322395,6.65,4.75,21.82,87.07607699358387
4532,瑞智,電機機械,2026-02-06,25.5,100.37804894841939,293.6394076408603,12.32,1.5,19.88,30.181086519114693
1541,錩泰,電機機械,2026-02-06,24.55,96.33621743374164,292.40821765271545,16.93,1.32,25.68,20.560747663551403
3014,聯陽,半導體業,2026-02-06,115.5,452.61899597661505,291.8779185944719,12.3,7.62,39.95,76.29536921151438
4305,世坤,塑膠工業,2026-02-06,42.25,165.24932676461788,291.12266689850384,0.0,2.61,21.56,48.42300556586271
9904,寶成,運動休閒,2026-02-06,30.8,118.96567570175114,286.25219383685436,8.13,3.03,45.84,26.439790575916227
6165,浪凡,數位雲端,2026-02-06,41.1,158.08129741780863,284.6260277805562,12.05,3.02,20.86,57.90987535953979
4420,光明,紡織纖維,2026-02-06,50.9,195.59673898144555,284.2765009458655,0.0,5.23,37.02,56.509994597514854
4584,君帆,電機機械,2026-02-06,46.0,174.5153355092175,279.38116415047284,0.0,2.63,33.41,31.487578569290637
2615,萬海,航運業,2026-02-06,73.9,279.60792693313175,278.35984700017826,6.06,7.64,91.96,33.23183993040452
